x, y, ymin, ymax
0.0, 10e1.058724832214765, 10e1.058724832214765, 10e1.058724832214765
5.412790697674419, 10e1.082214765100671, 10e1.082214765100671, 10e1.082214765100671
12.563953488372093, 10e1.2583892617449663, 10e1.2583892617449663, 10e1.2583892617449663
19.453488372093023, 10e2.8909395973154366, 10e1.563758389261745, 10e4.194630872483222
26.517441860465116, 10e4.758389261744966, 10e3.5721476510067114, 10e5.885906040268456
33.49418604651163, 10e4.065436241610739, 10e2.597315436241611, 10e5.51006711409396
40.55813953488372, 10e3.1375838926174495, 10e2.3859060402684564, 10e3.865771812080537
47.53488372093023, 10e3.865771812080537, 10e2.726510067114094, 10e4.958053691275168
52.593023255813954, 10e4.464765100671141, 10e3.266778523489933, 10e5.697986577181208
59.656976744186046, 10e4.582214765100671, 10e2.656040268456376, 10e6.531879194630872
65.67441860465117, 10e4.73489932885906, 10e2.902684563758389, 10e6.555369127516779
